Observer ,Date,Location ,Species,Body_Size_cm ,Group_Size,Habitat,Pass,Time_Start,Time_End,Depth (ft)
MB ,5-12-2025,Hinalea ,T. duperrey,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,S. psittacus,7.5,32,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,C. auriga,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,Z. flavescens ,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB ,5-12-2025,Hinalea ,A. triostegus,12.5,1,Reef_Flat ,1,10:18,10:45,3
MB,5-12-2025,Hinalea,A. triostegus,12.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. velifer,2.5,3,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. velifer,7.5,6,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,2.5,24,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,T. duperrey,17.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,L. fulvus,17.5,1,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,17.5,7,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,17.5,30,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. cornutus,12.5,4,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,12.5,6,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,Z. flavescens,17.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,17.5,12,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,L. fulvus,22.5,2,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,C. spilurus,17.5,26,Patchy_Reef,2,10:55,11:21,3
MB,5-12-2025,Hinalea,M. flavolineatus,27.5,50,Patchy_Reef,2,10:55,11:21,3
